Institute,Country,Model,Portal,Downscaling,Generation
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,IPCC AR6 Interactive Atlas,Regrid,CMIP5
CCCma,Canada,CanESM2,IPCC AR6 Interactive Atlas,Regrid,CMIP5
EC-EARTH,Consortium from Europe,EC-EARTH,IPCC AR6 Interactive Atlas,Regrid,CMIP5
LASG-CESS,China,FGOALS-g2,IPCC AR6 Interactive Atlas,Regrid,CMIP5
NOAA,USA,GFDL-CM3,IPCC AR6 Interactive Atlas,Regrid,CMIP5
NOAA,USA,GFDL-ESM2G,IPCC AR6 Interactive Atlas,Regrid,CMIP5
NOAA,USA,GFDL-ESM2M,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-CC,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-ES,IPCC AR6 Interactive Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5A-LR,IPCC AR6 Interactive Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5A-MR,IPCC AR6 Interactive Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5B-LR,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MIROC,Japan,MIROC-ESM-CHEM,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MIROC,Japan,MIROC-ESM,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MIROC,Japan,MIROC5,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-LR,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-MR,IPCC AR6 Interactive Atlas,Regrid,CMIP5
MRI,Japan,MRI-CGCM3,IPCC AR6 Interactive Atlas,Regrid,CMIP5
NCC,Norway,NorESM1-M,IPCC AR6 Interactive Atlas,Regrid,CMIP5
BCC,China,BCC-CSM1.1(m),IPCC AR6 Interactive Atlas,Regrid,CMIP5
BCC,China,BCC-CSM1.1,IPCC AR6 Interactive Atlas,Regrid,CMIP5
INM,Russia,INM-CM4,IPCC AR6 Interactive Atlas,Regrid,CMIP5
BCC,China,BCC-CSM1.1,GDO-DCHP,LOCA,CMIP5
BCC,China,BCC-CSM1.1,GDO-DCHP,BCCA,CMIP5
BCC,China,BCC-CSM1.1,GDO-DCHP,Regrid,CMIP5
BCC,China,BCC-CSM1.1(m),GDO-DCHP,BCSD,CMIP5
BCC,China,BCC-CSM1.1(m),GDO-DCHP,Regrid,CMIP5
CCCma,Canada,CanESM2,GDO-DCHP,LOCA,CMIP5
CCCma,Canada,CanESM2,GDO-DCHP,BCCA,CMIP5
CCCma,Canada,CanESM2,GDO-DCHP,Regrid,CMIP5
CMCC,Italy,CMCC-CM,GDO-DCHP,BCSD,CMIP5
CMCC,Italy,CMCC-CM,GDO-DCHP,Regrid,CMIP5
CNRM-CERFACS,France,CNRM-CM5,GDO-DCHP,LOCA,CMIP5
CNRM-CERFACS,France,CNRM-CM5,GDO-DCHP,BCSD,CMIP5
CNRM-CERFACS,France,CNRM-CM5,GDO-DCHP,BCCA,CMIP5
CNRM-CERFACS,France,CNRM-CM5,GDO-DCHP,Regrid,CMIP5
CSIRO-BOM,Australia,ACCESS1.0,GDO-DCHP,LOCA,CMIP5
CSIRO-BOM,Australia,ACCESS1.0,GDO-DCHP,BCCA,CMIP5
CSIRO-BOM,Australia,ACCESS1.0,GDO-DCHP,Regrid,CMIP5
CSIRO-BOM,Australia,ACCESS1.3,GDO-DCHP,BCSD,CMIP5
CSIRO-BOM,Australia,ACCESS1.3,GDO-DCHP,Regrid,CMIP5
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,GDO-DCHP,LOCA,CMIP5
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,GDO-DCHP,BCCA,CMIP5
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,GDO-DCHP,Regrid,CMIP5
EC-EARTH,Consortium from Europe,EC-EARTH,GDO-DCHP,BCSD,CMIP5
EC-EARTH,Consortium from Europe,EC-EARTH,GDO-DCHP,Regrid,CMIP5
FIO,China,FIO-ESM,GDO-DCHP,BCSD,CMIP5
FIO,China,FIO-ESM,GDO-DCHP,Regrid,CMIP5
GCESS,China,BNU-ESM,GDO-DCHP,BCSD,CMIP5
GCESS,China,BNU-ESM,GDO-DCHP,BCCA,CMIP5
GCESS,China,BNU-ESM,GDO-DCHP,Regrid,CMIP5
INM,Russia,INM-CM4,GDO-DCHP,LOCA,CMIP5
INM,Russia,INM-CM4,GDO-DCHP,BCCA,CMIP5
INM,Russia,INM-CM4,GDO-DCHP,Regrid,CMIP5
IPSL,France,IPSL-CM5A-LR,GDO-DCHP,BCCA,CMIP5
IPSL,France,IPSL-CM5A-LR,GDO-DCHP,Regrid,CMIP5
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,LOCA,CMIP5
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,BCCA,CMIP5
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,Regrid,CMIP5
IPSL,France,IPSL-CM5B-LR,GDO-DCHP,BCSD,CMIP5
IPSL,France,IPSL-CM5B-LR,GDO-DCHP,Regrid,CMIP5
LASG-CESS,China,FGOALS-g2,GDO-DCHP,BCSD,CMIP5
LASG-CESS,China,FGOALS-g2,GDO-DCHP,Regrid,CMIP5
LASG-CESS,China,FGOALS-s2,GDO-DCHP,BCSD,CMIP5
LASG-CESS,China,FGOALS-s2,GDO-DCHP,Regrid,CMIP5
MIROC,Japan,MIROC5,GDO-DCHP,LOCA,CMIP5
MIROC,Japan,MIROC5,GDO-DCHP,BCCA,CMIP5
MIROC,Japan,MIROC5,GDO-DCHP,Regrid,CMIP5
MIROC,Japan,MIROC-ESM,GDO-DCHP,LOCA,CMIP5
MIROC,Japan,MIROC-ESM,GDO-DCHP,BCCA,CMIP5
MIROC,Japan,MIROC-ESM,GDO-DCHP,Regrid,CMIP5
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,LOCA,CMIP5
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,BCCA,CMIP5
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,Regrid,CMIP5
MOHC,UK,HadGEM2-AO,GDO-DCHP,Regrid,CMIP5
MOHC,UK,HadGEM2-AO,GDO-DCHP,Regrid,CMIP5
MOHC,UK,HadGEM2-CC,GDO-DCHP,BCSD,CMIP5
MOHC,UK,HadGEM2-CC,GDO-DCHP,Regrid,CMIP5
MOHC,UK,HadGEM2-ES,GDO-DCHP,BCSD,CMIP5
MOHC,UK,HadGEM2-ES,GDO-DCHP,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,LOCA,CMIP5
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,BCCA,CMIP5
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,LOCA,CMIP5
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,BCCA,CMIP5
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,Regrid,CMIP5
MRI,Japan,MRI-CGCM3,GDO-DCHP,LOCA,CMIP5
MRI,Japan,MRI-CGCM3,GDO-DCHP,BCCA,CMIP5
MRI,Japan,MRI-CGCM3,GDO-DCHP,Regrid,CMIP5
NASA,USA,GISS-E2-H-CC,GDO-DCHP,BCSD,CMIP5
NASA,USA,GISS-E2-H-CC,GDO-DCHP,Regrid,CMIP5
NASA,USA,GISS-E2-R,GDO-DCHP,BCSD,CMIP5
NASA,USA,GISS-E2-R,GDO-DCHP,Regrid,CMIP5
NASA,USA,GISS-E2-R-CC,GDO-DCHP,BCSD,CMIP5
NASA,USA,GISS-E2-R-CC,GDO-DCHP,Regrid,CMIP5
NCAR,USA,CCSM4,GDO-DCHP,BCSD,CMIP5
NCAR,USA,CCSM4,GDO-DCHP,BCCA,CMIP5
NCAR,USA,CCSM4,GDO-DCHP,Regrid,CMIP5
NCC,Norway,NorESM1-M,GDO-DCHP,LOCA,CMIP5
NCC,Norway,NorESM1-M,GDO-DCHP,BCCA,CMIP5
NCC,Norway,NorESM1-M,GDO-DCHP,Regrid,CMIP5
NCC,Norway,NorESM1-ME,GDO-DCHP,BCSD,CMIP5
NCC,Norway,NorESM1-ME,GDO-DCHP,Regrid,CMIP5
NOAA,USA,GFDL-CM3,GDO-DCHP,LOCA,CMIP5
NOAA,USA,GFDL-CM3,GDO-DCHP,BCCA,CMIP5
NOAA,USA,GFDL-CM3,GDO-DCHP,Regrid,CMIP5
NOAA,USA,GFDL-ESM2G,GDO-DCHP,LOCA,CMIP5
NOAA,USA,GFDL-ESM2G,GDO-DCHP,BCCA,CMIP5
NOAA,USA,GFDL-ESM2G,GDO-DCHP,Regrid,CMIP5
NOAA,USA,GFDL-ESM2M,GDO-DCHP,LOCA,CMIP5
NOAA,USA,GFDL-ESM2M,GDO-DCHP,BCCA,CMIP5
NOAA,USA,GFDL-ESM2M,GDO-DCHP,Regrid,CMIP5
NCAR,USA,CESM1(BGC),GDO-DCHP,LOCA,CMIP5
NCAR,USA,CESM1(BGC),GDO-DCHP,BCCA,CMIP5
NCAR,USA,CESM1(BGC),GDO-DCHP,Regrid,CMIP5
NCAR,USA,CESM1(CAM5),GDO-DCHP,BCSD,CMIP5
NCAR,USA,CESM1(CAM5),GDO-DCHP,Regrid,CMIP5
BCCR,Norway,BCCR-BCM2.0,GDO-DCHP,BCSD,CMIP3
CCCma,Canada,CGCM3.1(T47),GDO-DCHP,BCCA,CMIP3
CCCma,Canada,CGCM3.1(T47),GDO-DCHP,BCSD,CMIP3
CNRM,France,CNRM-CM3,GDO-DCHP,BCCA,CMIP3
CSIRO-AR,Australia,CSIRO-Mk3.0,GDO-DCHP,BCSD,CMIP3
NOAA,USA,GFDL-CM2.0,GDO-DCHP,BCCA,CMIP3
NOAA,USA,GFDL-CM2.1,GDO-DCHP,BCCA,CMIP5
NASA,USA,GISS-ER,GDO-DCHP,BCSD,CMIP3
INM,Russia,INM-CM3.0,GDO-DCHP,BCSD,CMIP3
IPSL,France,IPSL-CM4,GDO-DCHP,BCCA,CMIP3
CCSR,Japan,MIROC3.2(medres),GDO-DCHP,BCSD,CMIP3
CCSR,Japan,MIROC3.2(medres),GDO-DCHP,BCCA,CMIP3
MIUB-MRI,Germany,ECHO-G,GDO-DCHP,BCCA,CMIP3
MPI-M,Germany,ECHAM5/MPI-OM,GDO-DCHP,BCCA,CMIP3
MPI-M,Germany,ECHAM5/MPI-OM,GDO-DCHP,BCSD,CMIP3
MRI,Japan,MRI-CGCM2.3.2,GDO-DCHP,BCCA,CMIP3
NCAR,USA,CCSM3,GDO-DCHP,BCSD,CMIP3
NCAR,USA,PCM,GDO-DCHP,BCSD,CMIP3
HCCPR,UK,UKMO-HadCM3,GDO-DCHP,BCSD,CMIP3
BCC,China,BCC-CSM1.1,KNMI Climate Change Atlas,Regrid,CMIP5
BCC,China,BCC-CSM1.1(m),KNMI Climate Change Atlas,Regrid,CMIP5
CCCma,Canada,CanAM4,KNMI Climate Change Atlas,Regrid,CMIP5
CCCma,Canada,CanCM4,KNMI Climate Change Atlas,Regrid,CMIP5
CCCma,Canada,CanESM2,KNMI Climate Change Atlas,Regrid,CMIP5
CCCma,Canada,CanESM2,KNMI Climate Change Atlas,Regrid,CMIP5
CMCC,Italy,CMCC-CESM,KNMI Climate Change Atlas,Regrid,CMIP5
CMCC,Italy,CMCC-CM,KNMI Climate Change Atlas,Regrid,CMIP5
CMCC,Italy,CMCC-CMS,KNMI Climate Change Atlas,Regrid,CMIP5
CNRM-CERFACS,France,CNRM-CM5,KNMI Climate Change Atlas,Regrid,CMIP5
CNRM-CERFACS,France,CNRM-CM5-2,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,CFSv2-2011,KNMI Climate Change Atlas,Regrid,CMIP5
CSIRO-BOM,Australia,ACCESS1.0,KNMI Climate Change Atlas,Regrid,CMIP5
CSIRO-BOM,Australia,ACCESS1.3,KNMI Climate Change Atlas,Regrid,CMIP5
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,KNMI Climate Change Atlas,Regrid,CMIP5
EC-EARTH,Consortium from Europe,EC-EARTH,KNMI Climate Change Atlas,Regrid,CMIP5
FIO,China,FIO-ESM,KNMI Climate Change Atlas,Regrid,CMIP5
GCESS,China,BNU-ESM,KNMI Climate Change Atlas,Regrid,CMIP5
INM,Russia,INM-CM4,KNMI Climate Change Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5A-LR,KNMI Climate Change Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5A-MR,KNMI Climate Change Atlas,Regrid,CMIP5
IPSL,France,IPSL-CM5B-LR,KNMI Climate Change Atlas,Regrid,CMIP5
LASG-CESS,China,FGOALS-g2,KNMI Climate Change Atlas,Regrid,CMIP5
LASG-CESS,China,FGOALS-gl,KNMI Climate Change Atlas,Regrid,CMIP5
LASG-CESS,China,FGOALS-s2,KNMI Climate Change Atlas,Regrid,CMIP5
MIROC,Japan,MIROC4h,KNMI Climate Change Atlas,Regrid,CMIP5
MIROC,Japan,MIROC5,KNMI Climate Change Atlas,Regrid,CMIP5
MIROC,Japan,MIROC-ESM,KNMI Climate Change Atlas,Regrid,CMIP5
MIROC,Japan,MIROC-ESM-CHEM,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadCM3,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadCM3,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadCM3Q,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-A,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-CC,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-CC,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-ES,KNMI Climate Change Atlas,Regrid,CMIP5
MOHC,UK,HadGEM2-ES,KNMI Climate Change Atlas,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-LR,KNMI Climate Change Atlas,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-MR,KNMI Climate Change Atlas,Regrid,CMIP5
MPI-M,Germany,MPI-ESM-P,KNMI Climate Change Atlas,Regrid,CMIP5
MRI,Japan,MRI-AGCM3.2H,KNMI Climate Change Atlas,Regrid,CMIP6
MRI,Japan,MRI-AGCM3.2S,KNMI Climate Change Atlas,Regrid,CMIP6
MRI,Japan,MRI-CGCM3,KNMI Climate Change Atlas,Regrid,CMIP5
MRI,Japan,MRI-ESM1,KNMI Climate Change Atlas,Regrid,CMIP5
NASA,USA,GISS-E2-H,KNMI Climate Change Atlas,Regrid,CMIP5
NASA,USA,GISS-E2-H-CC,KNMI Climate Change Atlas,Regrid,CMIP5
NASA,USA,GISS-E2-R,KNMI Climate Change Atlas,Regrid,CMIP5
NASA,USA,GISS-E2-R-CC,KNMI Climate Change Atlas,Regrid,CMIP5
NASA,USA,GEOS-5,KNMI Climate Change Atlas,Regrid,CMIP5
NCAR,USA,CCSM4,KNMI Climate Change Atlas,Regrid,CMIP5
NCC,Norway,NorESM1-M,KNMI Climate Change Atlas,Regrid,CMIP5
NCC,Norway,NorESM1-ME,KNMI Climate Change Atlas,Regrid,CMIP5
JAMSTEC,Japan,NICAM.09,KNMI Climate Change Atlas,Regrid,CMIP5
NIMR-KMA,Korea,HadGEM2-AO,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-CM2.1,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-CM3,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-ESM2G,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-ESM2M,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-HIRAM-C180,KNMI Climate Change Atlas,Regrid,CMIP5
NOAA,USA,GFDL-HIRAM-C360,KNMI Climate Change Atlas,Regrid,CMIP5
NCAR,USA,CESM1(BGC),KNMI Climate Change Atlas,Regrid,CMIP5
NCAR,USA,CESM1(CAM5),KNMI Climate Change Atlas,Regrid,CMIP5
CSIRO-BOM,Australia,ACCESS-CM2,KNMI Climate Change Atlas,Regrid,CMIP6
CSIRO-BOM,Australia,ACCESS-ESM1-5,KNMI Climate Change Atlas,Regrid,CMIP6
BCC,China,BCC-CSM2-MR,KNMI Climate Change Atlas,Regrid,CMIP6
CCCma,Canada,CanESM5,KNMI Climate Change Atlas,Regrid,CMIP6
CNRM-CERFACS,France,CNRM-CM6-1,KNMI Climate Change Atlas,Regrid,CMIP6
CNRM-CERFACS,France,CNRM-ESM2-1,KNMI Climate Change Atlas,Regrid,CMIP6
EC-EARTH,Consortium from Europe,EC-Earth3-Veg,KNMI Climate Change Atlas,Regrid,CMIP6
LASG IAP,China,FGOALS-g3,KNMI Climate Change Atlas,Regrid,CMIP6
NOAA,USA,GFDL-CM4,KNMI Climate Change Atlas,Regrid,CMIP6
NOAA,USA,GFDL-ESM4,KNMI Climate Change Atlas,Regrid,CMIP6
MOHC,UK,HadGEM3-GC31-LL,KNMI Climate Change Atlas,Regrid,CMIP6
INM-RAS,Russia,INM-CM4-8,KNMI Climate Change Atlas,Regrid,CMIP6
INM-RAS,Russia,INM-CM5-0,KNMI Climate Change Atlas,Regrid,CMIP6
IPSL,France,IPSL-CM6A-LR,KNMI Climate Change Atlas,Regrid,CMIP6
MIROC,Japan,MIROC6,KNMI Climate Change Atlas,Regrid,CMIP6
MIROC,Japan,MIROC-ES2L,KNMI Climate Change Atlas,Regrid,CMIP6
MPI-M,Germany,MPI-ESM1-2-HR,KNMI Climate Change Atlas,Regrid,CMIP6
MPI-M,Germany,MPI-ESM1-2-LR,KNMI Climate Change Atlas,Regrid,CMIP6
MRI,Japan,MRI-ESM2-0,KNMI Climate Change Atlas,Regrid,CMIP6
NUIST,China,NESM3,KNMI Climate Change Atlas,Regrid,CMIP6
NCC,Norway,NorESM2-LM,KNMI Climate Change Atlas,Regrid,CMIP6
NCC,Norway,NorESM2-MM,KNMI Climate Change Atlas,Regrid,CMIP6
MOHC,UK,UKESM1-0-LL,KNMI Climate Change Atlas,Regrid,CMIP6
