Institute,Country,Model,Portal,Downscaling
FIO,China,FIO-ESM,GDO-DCHP,Regrid
GCESS,China,BNU-ESM,GDO-DCHP,BCSD
GCESS,China,BNU-ESM,GDO-DCHP,BCCA
GCESS,China,BNU-ESM,GDO-DCHP,Regrid
INM,Russia,INMCM4,GDO-DCHP,LOCA
INM,Russia,INMCM4,GDO-DCHP,BCCA
INM,Russia,INMCM4,GDO-DCHP,Regrid
IPSL,France,IPSL-CM5A-LR,GDO-DCHP,BCCA
IPSL,France,IPSL-CM5A-LR,GDO-DCHP,Regrid
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,LOCA
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,BCCA
IPSL,France,IPSL-CM5A-MR,GDO-DCHP,Regrid
IPSL,France,IPSL-CM5B-LR,GDO-DCHP,BCSD
IPSL,France,IPSL-CM5B-LR,GDO-DCHP,Regrid
LASG-CESS,China,FGOALS-g2,GDO-DCHP,BCSD
LASG-CESS,China,FGOALS-g2,GDO-DCHP,Regrid
LASG-CESS,China,FGOALS-s2,GDO-DCHP,BCSD
LASG-CESS,China,FGOALS-s2,GDO-DCHP,Regrid
MIROC,Japan,MIROC5,GDO-DCHP,LOCA
MIROC,Japan,MIROC5,GDO-DCHP,BCCA
MIROC,Japan,MIROC5,GDO-DCHP,Regrid
MIROC,Japan,MIROC-ESM,GDO-DCHP,LOCA
MIROC,Japan,MIROC-ESM,GDO-DCHP,BCCA
MIROC,Japan,MIROC-ESM,GDO-DCHP,Regrid
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,LOCA
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,BCCA
MIROC,Japan,MIROC-ESM-CHEM,GDO-DCHP,Regrid
MOHC,UK,HadGEM2-AO,GDO-DCHP,Regrid
MOHC,UK,HadGEM2-AO,GDO-DCHP,Regrid
MOHC,UK,HadGEM2-CC,GDO-DCHP,BCSD
MOHC,UK,HadGEM2-CC,GDO-DCHP,Regrid
MOHC,UK,HadGEM2-ES,GDO-DCHP,BCSD
MOHC,UK,HadGEM2-ES,GDO-DCHP,Regrid
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,LOCA
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,BCCA
MPI-M,Germany,MPI-ESM-LR,GDO-DCHP,Regrid
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,LOCA
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,BCCA
MPI-M,Germany,MPI-ESM-MR,GDO-DCHP,Regrid
MRI,Japan,MRI-CGCM3,GDO-DCHP,LOCA
MRI,Japan,MRI-CGCM3,GDO-DCHP,BCCA
MRI,Japan,MRI-CGCM3,GDO-DCHP,Regrid
NASA,USA,GISS-E2-H-CC,GDO-DCHP,BCSD
NASA,USA,GISS-E2-H-CC,GDO-DCHP,Regrid
NASA,USA,GISS-E2-E,GDO-DCHP,BCSD
NASA,USA,GISS-E2-E,GDO-DCHP,Regrid
NASA,USA,GISS-E2-R-CC,GDO-DCHP,BCSD
NASA,USA,GISS-E2-R-CC,GDO-DCHP,Regrid
NCAR,USA,CCSM4,GDO-DCHP,BCSD
NCAR,USA,CCSM4,GDO-DCHP,BCCA
NCAR,USA,CCSM4,GDO-DCHP,Regrid
NCC,Norway,NorESM1-M,GDO-DCHP,LOCA
NCC,Norway,NorESM1-M,GDO-DCHP,BCCA
NCC,Norway,NorESM1-M,GDO-DCHP,Regrid
NCC,Norway,NorESM1-ME,GDO-DCHP,BCSD
NCC,Norway,NorESM1-ME,GDO-DCHP,Regrid
NOAA,USA,GFDL-CM3,GDO-DCHP,LOCA
NOAA,USA,GFDL-CM3,GDO-DCHP,BCCA
NOAA,USA,GFDL-CM3,GDO-DCHP,Regrid
NOAA,USA,GFDL-ESM2G,GDO-DCHP,LOCA
NOAA,USA,GFDL-ESM2G,GDO-DCHP,BCCA
NOAA,USA,GFDL-ESM2G,GDO-DCHP,Regrid
NOAA,USA,GFDL-ESM2M,GDO-DCHP,LOCA
NOAA,USA,GFDL-ESM2M,GDO-DCHP,BCCA
NOAA,USA,GFDL-ESM2M,GDO-DCHP,Regrid
NCAR,USA,CESM1-BGC,GDO-DCHP,LOCA
NCAR,USA,CESM1-BGC,GDO-DCHP,BCCA
NCAR,USA,CESM1-BGC,GDO-DCHP,Regrid
NCAR,USA,CESM1-CAM5,GDO-DCHP,BCSD
NCAR,USA,CESM1-CAM5,GDO-DCHP,Regrid
BCCR,Norway,BCCR-BCM2.0,GDO-DCHP,BCSD
CCCma,Canada,CGCM3.1,GDO-DCHP,BCCA
CCCma,Canada,CGCM3.1,GDO-DCHP,BCSD
CNRM,France,CNRM-CM3,GDO-DCHP,BCCA
CSIRO-AR,Australia,CSIRO-Mk3.0,GDO-DCHP,BCSD
NOAA,USA,GFDL-CM2.0,GDO-DCHP,BCCA
NOAA,USA,GFDL-CM2.1,GDO-DCHP,BCCA
NASA,USA,GISS-ER,GDO-DCHP,BCSD
INM,Russia,INM-CM3.0,GDO-DCHP,BCSD
IPSL,France,IPSL-CM4,GDO-DCHP,BCCA
CCSR,Japan,MIROC3.1,GDO-DCHP,BCSD
CCSR,Japan,MIROC3.2,GDO-DCHP,BCCA
MIUB-MRI,Germany,ECHO-G,GDO-DCHP,BCCA
MPI-M,Germany,ECHAM5/MPI-OM,GDO-DCHP,BCCA
MPI-M,Germany,ECHAM5/MPI-OM,GDO-DCHP,BCSD
MRI,Japan,MRI-CGCM2.3.2,GDO-DCHP,BCCA
NCAR,USA,CCSM3,GDO-DCHP,BCSD
NCAR,USA,PCM,GDO-DCHP,BCSD
HCCPR,UK,UKMO-HadCM3,GDO-DCHP,BCSD
BCC,China,BCC-CSM1.1,KNMI Climate Change Atlas,Regrid
BCC,China,BCC-CSM1.1-m,KNMI Climate Change Atlas,Regrid
CCCma,Canada,CanAM4,KNMI Climate Change Atlas,Regrid
CCCma,Canada,CanCM4,KNMI Climate Change Atlas,Regrid
CCCma,Canada,CanESM2,KNMI Climate Change Atlas,Regrid
CCCma,Canada,CanESM2,KNMI Climate Change Atlas,Regrid
CMCC,Italy,CMCC-CESM,KNMI Climate Change Atlas,Regrid
CMCC,Italy,CMCC-CM,KNMI Climate Change Atlas,Regrid
CMCC,Italy,CMCC-CMS,KNMI Climate Change Atlas,Regrid
CNRM-CERFACS,France,CNRM-CM5,KNMI Climate Change Atlas,Regrid
CNRM-CERFACS,France,CNRM-CM5-2,KNMI Climate Change Atlas,Regrid
NOAA,USA,CFSv2-2011,KNMI Climate Change Atlas,Regrid
NOAA,USA,CFSv2-2011,KNMI Climate Change Atlas,Regrid
CSIRO-BOM,Australia,ACCESS1.0,KNMI Climate Change Atlas,Regrid
CSIRO-BOM,Australia,ACCESS1.3,KNMI Climate Change Atlas,Regrid
CSIRO-QCCCE,Australia,CSIRO-Mk3.6.0,KNMI Climate Change Atlas,Regrid
EC-EARTH,Europe,EC-EARTH,KNMI Climate Change Atlas,Regrid
FIO,China,FIO-ESM,KNMI Climate Change Atlas,Regrid
GCESS,China,BNU-ESM,KNMI Climate Change Atlas,Regrid
INM,Russia,INMCM4,KNMI Climate Change Atlas,Regrid
IPSL,France,IPSL-CM5A-LR,KNMI Climate Change Atlas,Regrid
IPSL,France,IPSL-CM5A-MR,KNMI Climate Change Atlas,Regrid
IPSL,France,IPSL-CM5B-LR,KNMI Climate Change Atlas,Regrid
LASG-CESS,China,FGOALS-g2,KNMI Climate Change Atlas,Regrid
LASG-CESS,China,FGOALS-gl,KNMI Climate Change Atlas,Regrid
LASG-CESS,China,FGOALS-s2,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC4h,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC5,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC-ESM,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC-ESM-CHEM,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadCM3,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadCM3,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadCM3Q,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM2-A,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM2-CC,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM2-CC,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM2-ES,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM2-ES,KNMI Climate Change Atlas,Regrid
MPI-M,Germany,MPI-ESM-LR,KNMI Climate Change Atlas,Regrid
MPI-M,Germany,MPI-ESM-MR,KNMI Climate Change Atlas,Regrid
MPI-M,Germany,MPI-ESM-P,KNMI Climate Change Atlas,Regrid
MRI,Japan,MRI-AGCM3.2H,KNMI Climate Change Atlas,Regrid
MRI,Japan,MRI-AGCM3.2S,KNMI Climate Change Atlas,Regrid
MRI,Japan,MRI-CGCM3,KNMI Climate Change Atlas,Regrid
MRI,Japan,MRI-ESM1,KNMI Climate Change Atlas,Regrid
NASA,USA,GISS-E2-H,KNMI Climate Change Atlas,Regrid
NASA,USA,GISS-E2-H-CC,KNMI Climate Change Atlas,Regrid
NASA,USA,GISS-E2-R,KNMI Climate Change Atlas,Regrid
NASA,USA,GISS-E2-R-CC,KNMI Climate Change Atlas,Regrid
NASA,USA,GEOS-5,KNMI Climate Change Atlas,Regrid
NCAR,USA,CCSM4,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM1-M,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM1-M,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM1-ME,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM1-ME,KNMI Climate Change Atlas,Regrid
JAMSTEC,Japan,NICAM.09,KNMI Climate Change Atlas,Regrid
NIMR-KMA,Korea,HadGEM2-AO,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-CM2.1,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-CM3,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-ESM2G,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-ESM2M,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-HIRAM-C180,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-HIRAM-C360,KNMI Climate Change Atlas,Regrid
NCAR,USA,CESM1-BGC,KNMI Climate Change Atlas,Regrid
NCAR,USA,CESM1-CAM5,KNMI Climate Change Atlas,Regrid
CSIRO-BOM,Australia,ACCESS-CM2,KNMI Climate Change Atlas,Regrid
CSIRO-BOM,Australia,ACCESS-ESM1-5,KNMI Climate Change Atlas,Regrid
BCC,China,BCC-CSM2-MR,KNMI Climate Change Atlas,Regrid
CCCma,Canada,CanESM5,KNMI Climate Change Atlas,Regrid
CNRM-CERFACS,France,CNRM-CM6-1,KNMI Climate Change Atlas,Regrid
CNRM-CERFACS,France,CNRM-ESM2-1,KNMI Climate Change Atlas,Regrid
EC-EARTH,Europe,EC-Earth3-Veg,KNMI Climate Change Atlas,Regrid
LASG IAP,China,FGOALS-g3,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-CM4,KNMI Climate Change Atlas,Regrid
NOAA,USA,GFDL-ESM4,KNMI Climate Change Atlas,Regrid
MOHC,UK,HadGEM3-GC31-LL,KNMI Climate Change Atlas,Regrid
INM-RAS,Russia,INMCM4-8,KNMI Climate Change Atlas,Regrid
INM-RAS,Russia,INM-CM5-0,KNMI Climate Change Atlas,Regrid
IPSL,France,IPSL-CM6A-LR,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC6,KNMI Climate Change Atlas,Regrid
MIROC,Japan,MIROC-ES2L,KNMI Climate Change Atlas,Regrid
MPI-M,Germany,MPI-ESM-1-2-HR,KNMI Climate Change Atlas,Regrid
MPI-M,Germany,MPI-ESM-1-2-LR,KNMI Climate Change Atlas,Regrid
MRI,Japan,MRI-ESM2-0,KNMI Climate Change Atlas,Regrid
NUIST,China,NESM3,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM2-LM,KNMI Climate Change Atlas,Regrid
NCC,Norway,NorESM2-MM,KNMI Climate Change Atlas,Regrid
MOHC,UK,UKESM1-0-LL,KNMI Climate Change Atlas,Regrid
